James Starks,GB,26.8,142.2,0.3,3.8,25.4,0.3,0,20.1
Alex Green,GB,29.5,125.3,0.3,6,40.8,0.3,0,20
Jamie Harper,FA,14.7,84,1.2,2,24.4,0.3,0.3,19.6
Cedric Peerman,CIN,25.1,118.5,0.4,4.4,34.3,0.3,0.1,19.1
Leon Washington,NE,22.2,103.8,0.5,7.9,61,0,0.3,18.9
Will Johnson,PIT,4.9,18.2,0.4,10.2,88,0.9,0,18.6
Bernard Scott,CIN,24.4,110.2,0.3,8.6,59.3,0.3,0.8,18.4
Taiwan Jones,OAK,0,155,0,0,17,0,0,17.2
Anthony Dixon,SF,20.7,78.6,1.4,1.5,9.3,0,0,17.1
Lance Ball,DEN,23.2,95.2,0.6,3.9,31.5,0.3,0.4,16.7
Michael Robinson,SEA,10.5,36.9,0.3,10.1,73.9,0.5,0,15.9
Jacob Hester,DEN,18.7,63.8,0.3,8.4,55.6,0.3,0,15.8
Montell Owens,DET,17.3,89.4,0.3,7.1,34.3,0.3,0.3,15.6
Tashard Choice,BUF,30.4,115.9,0.3,4.2,28.7,0,0.6,15.1
Keiland Williams,WAS,14.2,59.1,0.4,4.9,43.6,0.4,0.4,14.6
Jed Collins,NO,2,4.7,0.5,9,44.3,1.1,0,14.5
Damien Berry,BAL,17.5,63.7,0.6,4.9,38.6,0.2,0.3,14.3
Orson Charles,CIN,1.3,4,0,9.3,112.4,0.4,0,14.2
Danny Ware,FA,10,50.7,0,9.4,88,0,0,13.9
Da'Rel Scott,NYG,21.3,89.1,0.3,3.6,27.9,0,0.1,13.8
Darrel Young,WAS,12.9,54.7,0.4,4.9,44,0,0,12.5
Le'Ron McClain,SD,17.6,48,0.5,7.6,48.9,0,0,12.4
Baron Batch,PIT,16.4,76.4,0.5,2.2,13.8,0,0,11.9
Ryan Torain,NYG,15.7,66.7,0.3,3.7,22.3,0,0,10.9
Rex Burkhead,CIN,15.8,61.1,0.6,1,5.5,0,0,10.4
Travaris Cadet,NO,10,39.6,0.2,4.6,38.3,0.1,0.1,9.5
Henry Hynoski,NYG,5,17.9,0.3,7.7,40.4,0.3,0,8.9
Evan Rodriguez,MIA,4.7,19.7,0,7,68.3,0,0,8.8
Chris Thompson,WAS,14.1,61.7,0.1,3.1,19.6,0,0.1,8.7
Ryan D'Imperio,FA,5.3,20.9,0,7.1,64.9,0,0,8.6
Jeremy Stewart,OAK,12.4,52.4,0.1,3.7,28,0,0.1,8.4
Stanley Havili,IND,4,12.3,0.4,6.7,43.7,0,0,8.2
Miguel Maysonet,CLE,14.8,57,0.4,0,0,0,0.2,7.9
Cyrus Gray,KC,9.4,48.3,0.3,1.3,11.7,0,0,7.9
Jerome Felton,MIN,7,19.5,0.3,5.7,41.5,0,0,7.7
Benny Cunningham,STL,10.2,39,0.2,2.4,18.6,0.1,0.2,7.7
Dorin Dickerson,BUF,1.3,6.2,0,7.1,70.2,0,0,7.6
Anthony Allen,BAL,11.6,49.5,0.3,1.5,11.3,0,0,7.6
Cierre Wood,HOU,16,62.6,0.2,0.5,4.3,0,0.1,7.5
Matthew Tucker,PHI,13.3,51.7,0.5,0,0,0,0.2,7.5
Michael Cox,NYG,10.9,42.8,0.5,0,0,0,0.1,6.9
Chad Spann,NYJ,12.6,49.1,0.4,0,0,0,0.2,6.8
Bruce Miller,SF,4.4,12.7,0,8,53.3,0,0,6.6
Darius Reynaud,TEN,3.7,15.4,0.1,4.8,44.9,0.1,0.1,6.6
Jordan Todman,JAC,13,50.8,0.3,0,0,0,0.2,6.5
Harvey Unga,CHI,12.1,47.1,0.4,0,0,0,0.2,6.5
Tristan Davis,FA,10,43.4,0,2,18,0,0,6.1
Chris Pressley,CIN,4.9,14.3,0.3,2.7,25,0,0,5.9
Kerwynn Williams,IND,11.4,51.2,0.1,0,0,0,0.1,5.6
Shaun Chapas,DET,4,11.1,0,2,42.7,0,0,5.4
Matt Asiata,MIN,6.9,25.6,0.2,2.2,14.6,0.1,0.1,5.3
Owen Marecic,CLE,3.6,11.7,0,2.7,41.3,0,0,5.3
Quinn Johnson,TEN,4.9,12.3,0,5.3,40.5,0,0,5.3
Lawrence Vickers,FA,4.4,11.3,0,5.3,41.3,0,0,5.3
Tommy Bohanon,NYJ,1.4,5.4,0,4.7,44.7,0,0,5
Michael Smith,TB,10.7,41.8,0,1.3,8,0,0,5
Jackie Battle,TEN,8.8,32.7,0.3,0,0,0,0.1,5
Antone Smith,ATL,9.2,35.8,0.3,0,0,0,0.1,5
Marcus Thigpen,MIA,7,32.7,0,2.3,19,0,0.3,4.5
David Johnson,FA,0,0,0,5.4,42.7,0,0,4.3
Lex Hilliard,NYJ,7.4,26,0,2,16.7,0,0,4.3
John Griffin,NYJ,2.7,12.7,0,3.4,28.7,0,0,4.1
Dan Herron,FA,11,41,0,0,0,0,0,4.1
Theo Riddick,DET,8.7,32.9,0.2,0,0,0,0.1,4.1
Anthony Sherman,KC,2.2,8.9,0,4.4,30.2,0,0,3.9
Jalen Parmele,TEN,10.7,38.7,0,0,0,0,0,3.9
Bradie Ewing,ATL,3.6,12,0,3.1,20.4,0,0,3.2
Erik Lorig,TB,3.6,13.8,0,3.1,16.9,0,0,3.1
James Develin,NE,0,0,0,4.7,30,0,0,3
Tony Fiammetta,NE,2.7,12.7,0,2,16,0,0,2.9
Mike Cox,FA,0,0,0,0,24,0,0,2.4
Jamie McCoy,PIT,0,0,0,2,22,0,0,2.2
