"QB","Matt Cassel",5000,"Min@Det 01:00PM ET",0
"QB","Charlie Whitehurst",5000,"Hou@SD 10:20PM ET",0
"QB","Kyle Orton",5000,"NYG@Dal 08:30PM ET",0
"QB","Bruce Gradkowski",5000,"Ten@Pit 01:00PM ET",0
"QB","Ryan Fitzpatrick",5000,"Ten@Pit 01:00PM ET",0
"QB","Derek Anderson",5000,"Sea@Car 01:00PM ET",0
"QB","Terrelle Pryor",5000,"Oak@Ind 01:00PM ET",0
"QB","Mike Glennon",5000,"TB@NYJ 01:00PM ET",0
"QB","Matt Hasselbeck",5000,"Oak@Ind 01:00PM ET",0
"QB","Matt Barkley",5000,"Phi@Was 07:10PM ET",0
"QB","Colt McCoy",5000,"GB@SF 04:25PM ET",0
"QB","Charlie Batch",5000,"Ten@Pit 01:00PM ET",0
"QB","David Carr",5000,"NYG@Dal 08:30PM ET",0
"QB","Ryan Nassib",5000,"NYG@Dal 08:30PM ET",0
"QB","Jason Campbell",5000,"Mia@Cle 01:00PM ET",0
"QB","Josh McCown",5000,"Cin@Chi 01:00PM ET",0
"QB","Tyler Wilson",5000,"Oak@Ind 01:00PM ET",0
"QB","Dan Orlovsky",5000,"TB@NYJ 01:00PM ET",0
"QB","Kirk Cousins",5000,"Phi@Was 07:10PM ET",0
"QB","Austin Davis",5000,"Ari@StL 04:25PM ET",0
"QB","Kellen Clemens",5000,"Ari@StL 04:25PM ET",0
"QB","Landry Jones",5000,"Ten@Pit 01:00PM ET",0
"QB","Dennis Dixon",5000,"Phi@Was 07:10PM ET",0
"QB","Shaun Hill",5000,"Min@Det 01:00PM ET",0
"WR","Kenny Britt",4900,"Ten@Pit 01:00PM ET",0
"RB","Ahmad Bradshaw",4900,"Oak@Ind 01:00PM ET",0
"DST","Rams ",4900,"Ari@StL 04:25PM ET",0
"DST","Bears ",4900,"Cin@Chi 01:00PM ET",0
"WR","Emmanuel Sanders",4800,"Ten@Pit 01:00PM ET",0
"TE","Vernon Davis",4700,"GB@SF 04:25PM ET",0
"DST","Seahawks ",4700,"Sea@Car 01:00PM ET",0
"DST","Patriots ",4700,"NE@Buf 01:00PM ET",0
"TE","Antonio Gates",4600,"Hou@SD 10:20PM ET",0
"WR","Brian Hartline",4600,"Mia@Cle 01:00PM ET",0
"RB","Rashard Mendenhall",4600,"Ari@StL 04:25PM ET",0
"RB","Chris Ivory",4600,"TB@NYJ 01:00PM ET",0
"WR","Kendall Wright",4500,"Ten@Pit 01:00PM ET",0
"DST","Cardinals ",4500,"Ari@StL 04:25PM ET",0
"TE","Kyle Rudolph",4500,"Min@Det 01:00PM ET",0
"DST","49ers ",4500,"GB@SF 04:25PM ET",0
"WR","Michael Floyd",4500,"Ari@StL 04:25PM ET",0
"TE","Greg Olsen",4500,"Sea@Car 01:00PM ET",0
"TE","Brandon Myers",4400,"NYG@Dal 08:30PM ET",0
"TE","Jermichael Finley",4400,"GB@SF 04:25PM ET",0
"RB","Ryan Mathews",4400,"Hou@SD 10:20PM ET",0
"WR","Santonio Holmes",4300,"TB@NYJ 01:00PM ET",0
"WR","Chris Givens",4300,"Ari@StL 04:25PM ET",0
"RB","Jonathan Stewart",4300,"Sea@Car 01:00PM ET",0
"WR","Greg Little",4300,"Mia@Cle 01:00PM ET",0
"WR","Sidney Rice",4200,"Sea@Car 01:00PM ET",0
"TE","Brent Celek",4200,"Phi@Was 07:10PM ET",0
"TE","Brandon Pettigrew",4200,"Min@Det 01:00PM ET",0
"DST","Redskins ",4200,"Phi@Was 07:10PM ET",0
"TE","Owen Daniels",4200,"Hou@SD 10:20PM ET",0
"TE","Martellus Bennett",4100,"Cin@Chi 01:00PM ET",0
"WR","Riley Cooper",4100,"Phi@Was 07:10PM ET",0
"WR","Jason Avant",4100,"Phi@Was 07:10PM ET",0
"RB","Andre Brown",4100,"NYG@Dal 08:30PM ET",0
"RB","Eddie Lacy",4100,"GB@SF 04:25PM ET",0
"DST","Bengals ",4000,"Cin@Chi 01:00PM ET",0
"DST","Browns ",4000,"Mia@Cle 01:00PM ET",0
"WR","Ryan Broyles",4000,"Min@Det 01:00PM ET",0
"RB","Pierre Thomas",4000,"Atl@NO 01:00PM ET",0
"WR","Rod Streater",4000,"Oak@Ind 01:00PM ET",0
"DST","Packers ",4000,"GB@SF 04:25PM ET",0
"WR","Golden Tate",3900,"Sea@Car 01:00PM ET",0
"RB","DeAngelo Williams",3900,"Sea@Car 01:00PM ET",0
"K","Blair Walsh",3900,"Min@Det 01:00PM ET",0
"WR","Rueben Randle",3900,"NYG@Dal 08:30PM ET",0
"WR","DeAndre Hopkins",3900,"Hou@SD 10:20PM ET",0
"RB","Giovani Bernard",3900,"Cin@Chi 01:00PM ET",0
"K","Stephen Gostkowski",3900,"NE@Buf 01:00PM ET",0
"RB","Jacquizz Rodgers",3800,"Atl@NO 01:00PM ET",0
"K","Matt Bryant",3800,"Atl@NO 01:00PM ET",0
"K","Phil Dawson",3800,"GB@SF 04:25PM ET",0
"TE","Jared Cook",3800,"Ari@StL 04:25PM ET",0
"DST","Giants ",3800,"NYG@Dal 08:30PM ET",0
"DST","Chargers ",3800,"Hou@SD 10:20PM ET",0
"DST","Saints ",3700,"Atl@NO 01:00PM ET",0
"DST","Vikings ",3700,"Min@Det 01:00PM ET",0
"TE","Jordan Cameron",3700,"Mia@Cle 01:00PM ET",0
"WR","Alshon Jeffery",3700,"Cin@Chi 01:00PM ET",0
"TE","Dwayne Allen",3700,"Oak@Ind 01:00PM ET",0
"TE","Zach Ertz",3700,"Phi@Was 07:10PM ET",0
"WR","Brandon LaFell",3700,"Sea@Car 01:00PM ET",0
"DST","Panthers ",3700,"Sea@Car 01:00PM ET",0
"RB","BenJarvus Green-Ellis",3600,"Cin@Chi 01:00PM ET",0
"TE","Marcedes Lewis",3600,"KC@Jac 01:00PM ET",0
"TE","Jermaine Gresham",3600,"Cin@Chi 01:00PM ET",0
"RB","Mark Ingram",3600,"Atl@NO 01:00PM ET",0
"WR","Andre Roberts",3600,"Ari@StL 04:25PM ET",0
"WR","Mohamed Sanu",3600,"Cin@Chi 01:00PM ET",0
"DST","Buccaneers ",3600,"TB@NYJ 01:00PM ET",0
"RB","Daryl Richardson",3500,"Ari@StL 04:25PM ET",0
"TE","Matt Spaeth",3500,"Ten@Pit 01:00PM ET",0
"TE","Kellen Winslow",3500,"TB@NYJ 01:00PM ET",0
"K","Adam Vinatieri",3500,"Oak@Ind 01:00PM ET",0
"WR","Malcom Floyd",3500,"Hou@SD 10:20PM ET",0
"RB","Danny Woodhead",3500,"Hou@SD 10:20PM ET",0
"TE","Heath Miller",3500,"Ten@Pit 01:00PM ET",0
"WR","Nate Burleson",3500,"Min@Det 01:00PM ET",0
"K","Josh Brown",3500,"NYG@Dal 08:30PM ET",0
"TE","Rob Housler",3500,"Ari@StL 04:25PM ET",0
"WR","Darrius Heyward-Bey",3500,"Oak@Ind 01:00PM ET",0
"TE","Tyler Eifert",3500,"Cin@Chi 01:00PM ET",0
